Acarbose_12m_female	Acarbose_12m_male	CR_12m_female	CR_12m_male	E17a_6m_female	E17a_6m_male	GHRKO_5m_male	MR_14m_male	Protandim_6m_female	Protandim_6m_male	Rapamycin_12m_female	Rapamycin_12m_male	Snell_5m_male	XL_female_Old_Heter	XL_male_Old_Heter	XL_female_Young_Heter	XL_male_Young_Heter	nmrHas2_female_Old	nmrHas2_male_Old
Acarbose_12m_female	1	0.329665723770281	0.607290627123729	0.46947690825104	-0.079124656486387	-0.176814179506082	0.164028903042077	0.254096624490023	0.0493052187116114	-0.168036496963618	0.568502715118095	0.0855642887657865	0.239212495369799	0.281562815161434	0.14788235109794	-0.204977582233721	0.0324937937731334	0.178200075548684	0.335298922202645
Acarbose_12m_male	0.329665723770281	1	0.270815855593906	0.508062851102729	0.129477192406274	0.144461727098291	0.532442137429901	0.363599462100694	0.142773153008455	-0.213682252171971	-0.125800561176042	0.442815875713072	0.573010633000122	0.308016830438634	0.223153611419967	-0.320013226789987	0.0509509595567904	-0.102275432677215	0.100455672282116
CR_12m_female	0.607290627123729	0.270815855593906	1	0.781449667315109	-0.167001955464456	-0.099259275519856	0.305307877000715	0.141517738614188	0.101208560194682	-0.0296638001443508	0.462924937061198	-0.142839841283174	0.330243685857909	0.0744439288574232	0.0885743097065818	-0.0368817095467016	0.173802782079012	0.0768684473840991	-0.0709971107778903
CR_12m_male	0.46947690825104	0.508062851102729	0.781449667315109	1	-0.171741177937318	-0.0739246171366358	0.346584127069452	0.238576852167876	-0.0250741816068636	-0.189855333319689	0.308853251608301	0.0963757540520356	0.423766888301432	-0.00697608662548248	0.0509551895630898	-0.0457354428932368	0.29406142758763	0.0199885750763053	0.00968691522539662
E17a_6m_female	-0.079124656486387	0.129477192406274	-0.167001955464456	-0.171741177937318	1	0.245129440605313	0.0158820670686717	0.0669594079278363	0.609526318430428	-0.194976462483175	-0.470073552615609	0.0713882861892466	-0.0312798588700689	-0.121065237640864	-0.0491864685516204	-0.49679276590127	-0.546409217654996	-0.243586548888817	-0.157414706417088
E17a_6m_male	-0.176814179506082	0.144461727098291	-0.099259275519856	-0.0739246171366358	0.245129440605313	1	0.175244047565176	-0.00143177515159649	-0.161932442464306	0.365091935896305	-0.30391614726037	-0.0655160320712822	0.24224535404449	-0.0357687632235196	-0.240198640342937	-0.0509831805981758	-0.16085048603984	-0.265906821002006	-0.33864132873039
GHRKO_5m_male	0.164028903042077	0.532442137429901	0.305307877000715	0.346584127069452	0.0158820670686717	0.175244047565176	1	0.314704057258095	0.222226532603286	-0.155273513867007	-0.247481516351452	-0.00762345829647263	0.894409390041336	0.144868910081883	0.112853413560312	-0.240268832134411	0.184465217270909	-0.330890412929244	-0.193200853200497
MR_14m_male	0.254096624490023	0.363599462100694	0.141517738614188	0.238576852167876	0.0669594079278363	-0.00143177515159649	0.314704057258095	1	-0.00851318565829028	-0.262316346486818	-0.0677624151812468	0.138504913179201	0.428615878087128	-0.156893854336735	-0.0166355101821096	0.0305886552687205	-0.164491903479941	-0.0418355026796389	0.0468296516740641
Protandim_6m_female	0.0493052187116114	0.142773153008455	0.101208560194682	-0.0250741816068636	0.609526318430428	-0.161932442464306	0.222226532603286	-0.00851318565829028	1	0.21517081646178	-0.0551604209849543	-0.210003914548693	0.059252216465309	0.0971635551852721	0.386967162174134	-0.269087295639824	0.105287045947252	0.162212000014447	0.0301407168877468
Protandim_6m_male	-0.168036496963618	-0.213682252171971	-0.0296638001443508	-0.189855333319689	-0.194976462483175	0.365091935896305	-0.155273513867007	-0.262316346486818	0.21517081646178	1	0.24182339683959	-0.256758144263444	-0.290704455221359	-0.125068583791481	-0.163730773952245	0.180536626731781	0.139211196217591	0.000614633476940411	-0.056811708318721
Rapamycin_12m_female	0.568502715118095	-0.125800561176042	0.462924937061198	0.308853251608301	-0.470073552615609	-0.30391614726037	-0.247481516351452	-0.0677624151812468	-0.0551604209849543	0.24182339683959	1	-0.100830672930693	-0.285951502535415	0.120389171682931	0.105433259434213	0.259878102130084	0.0708108831281448	0.263129449050301	0.239912678252628
Rapamycin_12m_male	0.0855642887657865	0.442815875713072	-0.142839841283174	0.0963757540520356	0.0713882861892466	-0.0655160320712822	-0.00762345829647263	0.138504913179201	-0.210003914548693	-0.256758144263444	-0.100830672930693	1	0.0689901020300982	0.0830094029938004	-0.0573268582728399	-0.055030910180085	-0.0765853486652821	0.158030919274256	0.0185038558424854
Snell_5m_male	0.239212495369799	0.573010633000122	0.330243685857909	0.423766888301432	-0.0312798588700689	0.24224535404449	0.894409390041336	0.428615878087128	0.059252216465309	-0.290704455221359	-0.285951502535415	0.0689901020300982	1	-0.00265775689707214	0.102547610928295	-0.199276898127056	0.0849898758806762	-0.372964294204628	-0.266657378231697
XL_female_Old_Heter	0.281562815161434	0.308016830438634	0.0744439288574232	-0.00697608662548248	-0.121065237640864	-0.0357687632235196	0.144868910081883	-0.156893854336735	0.0971635551852721	-0.125068583791481	0.120389171682931	0.0830094029938004	-0.00265775689707214	1	0.530598855675126	-0.308392566636664	0.320183427497787	0.424799926339349	0.61972966677683
XL_male_Old_Heter	0.14788235109794	0.223153611419967	0.0885743097065818	0.0509551895630898	-0.0491864685516204	-0.240198640342937	0.112853413560312	-0.0166355101821096	0.386967162174134	-0.163730773952245	0.105433259434213	-0.0573268582728399	0.102547610928295	0.530598855675126	1	0.00941629632592482	0.145361692903048	0.505309539243836	0.485618646399004
XL_female_Young_Heter	-0.204977582233721	-0.320013226789987	-0.0368817095467016	-0.0457354428932368	-0.49679276590127	-0.0509831805981758	-0.240268832134411	0.0305886552687205	-0.269087295639824	0.180536626731781	0.259878102130084	-0.055030910180085	-0.199276898127056	-0.308392566636664	0.00941629632592482	1	0.356677260407776	-0.00149525194553591	-0.0346995035105161
XL_male_Young_Heter	0.0324937937731334	0.0509509595567904	0.173802782079012	0.29406142758763	-0.546409217654996	-0.16085048603984	0.184465217270909	-0.164491903479941	0.105287045947252	0.139211196217591	0.0708108831281448	-0.0765853486652821	0.0849898758806762	0.320183427497787	0.145361692903048	0.356677260407776	1	0.0575360317872587	0.0552027388411187
nmrHas2_female_Old	0.178200075548684	-0.102275432677215	0.0768684473840991	0.0199885750763053	-0.243586548888817	-0.265906821002006	-0.330890412929244	-0.0418355026796389	0.162212000014447	0.000614633476940411	0.263129449050301	0.158030919274256	-0.372964294204628	0.424799926339349	0.505309539243836	-0.00149525194553591	0.0575360317872587	1	0.803327681845911
nmrHas2_male_Old	0.335298922202645	0.100455672282116	-0.0709971107778903	0.00968691522539662	-0.157414706417088	-0.33864132873039	-0.193200853200497	0.0468296516740641	0.0301407168877468	-0.056811708318721	0.239912678252628	0.0185038558424854	-0.266657378231697	0.61972966677683	0.485618646399004	-0.0346995035105161	0.0552027388411187	0.803327681845911	1
